Geo,Year,ElectricityCI
Accomack County,2024,57
Accomack County,2045,14
Albemarle County,2024,57
Albemarle County,2045,14
Alexandria City,2024,57
Alexandria City,2045,14
Alleghany County,2024,57
Alleghany County,2045,14
Amelia County,2024,57
Amelia County,2045,14
Amherst County,2024,57
Amherst County,2045,14
Appomattox County,2024,57
Appomattox County,2045,14
Arlington County,2024,57
Arlington County,2045,14
Augusta County,2024,57
Augusta County,2045,14
Bath County,2024,57
Bath County,2045,14
Bedford County,2024,57
Bedford County,2045,14
Bland County,2024,57
Bland County,2045,14
Botetourt County,2024,57
Botetourt County,2045,14
Bristol City,2024,57
Bristol City,2045,14
Brunswick County,2024,57
Brunswick County,2045,14
Buchanan County,2024,57
Buchanan County,2045,14
Buckingham County,2024,57
Buckingham County,2045,14
Buena Vista City,2024,57
Buena Vista City,2045,14
Campbell County,2024,57
Campbell County,2045,14
Caroline County,2024,57
Caroline County,2045,14
Carroll County,2024,57
Carroll County,2045,14
Charles City County,2024,57
Charles City County,2045,14
Charlotte County,2024,57
Charlotte County,2045,14
Charlottesville City,2024,57
Charlottesville City,2045,14
Chesapeake City,2024,57
Chesapeake City,2045,14
Chesterfield County,2024,57
Chesterfield County,2045,14
Clarke County,2024,57
Clarke County,2045,14
Colonial Heights City,2024,57
Colonial Heights City,2045,14
Covington City,2024,57
Covington City,2045,14
Craig County,2024,57
Craig County,2045,14
Culpeper County,2024,57
Culpeper County,2045,14
Cumberland County,2024,57
Cumberland County,2045,14
Danville City,2024,57
Danville City,2045,14
Dickenson County,2024,57
Dickenson County,2045,14
Dinwiddie County,2024,57
Dinwiddie County,2045,14
Emporia City,2024,57
Emporia City,2045,14
Essex County,2024,57
Essex County,2045,14
Fairfax City,2024,57
Fairfax City,2045,14
Fairfax County,2024,57
Fairfax County,2045,14
Falls Church City,2024,57
Falls Church City,2045,14
Fauquier County,2024,57
Fauquier County,2045,14
Floyd County,2024,57
Floyd County,2045,14
Fluvanna County,2024,57
Fluvanna County,2045,14
Franklin City,2024,57
Franklin City,2045,14
Franklin County,2024,57
Franklin County,2045,14
Frederick County,2024,57
Frederick County,2045,14
Fredericksburg City,2024,57
Fredericksburg City,2045,14
Galax City,2024,57
Galax City,2045,14
Giles County,2024,57
Giles County,2045,14
Gloucester County,2024,57
Gloucester County,2045,14
Goochland County,2024,57
Goochland County,2045,14
Grayson County,2024,57
Grayson County,2045,14
Greene County,2024,57
Greene County,2045,14
Greensville County,2024,57
Greensville County,2045,14
Halifax County,2024,57
Halifax County,2045,14
Hampton City,2024,57
Hampton City,2045,14
Hanover County,2024,57
Hanover County,2045,14
Harrisonburg City,2024,57
Harrisonburg City,2045,14
Henrico County,2024,57
Henrico County,2045,14
Henry County,2024,57
Henry County,2045,14
Highland County,2024,57
Highland County,2045,14
Hopewell City,2024,57
Hopewell City,2045,14
Isle of Wight County,2024,57
Isle of Wight County,2045,14
James City County,2024,57
James City County,2045,14
King and Queen County,2024,57
King and Queen County,2045,14
King George County,2024,57
King George County,2045,14
King William County,2024,57
King William County,2045,14
Lancaster County,2024,57
Lancaster County,2045,14
Lee County,2024,57
Lee County,2045,14
Lexington City,2024,57
Lexington City,2045,14
Loudoun County,2024,57
Loudoun County,2045,14
Louisa County,2024,57
Louisa County,2045,14
Lunenburg County,2024,57
Lunenburg County,2045,14
Lynchburg City,2024,57
Lynchburg City,2045,14
Madison County,2024,57
Madison County,2045,14
Manassas City,2024,57
Manassas City,2045,14
Manassas Park City,2024,57
Manassas Park City,2045,14
Martinsville City,2024,57
Martinsville City,2045,14
Mathews County,2024,57
Mathews County,2045,14
Mecklenburg County,2024,57
Mecklenburg County,2045,14
Middlesex County,2024,57
Middlesex County,2045,14
Montgomery County,2024,57
Montgomery County,2045,14
Nelson County,2024,57
Nelson County,2045,14
New Kent County,2024,57
New Kent County,2045,14
Newport News City,2024,57
Newport News City,2045,14
Norfolk City,2024,57
Norfolk City,2045,14
Northampton County,2024,57
Northampton County,2045,14
Northumberland County,2024,57
Northumberland County,2045,14
Norton City,2024,57
Norton City,2045,14
Nottoway County,2024,57
Nottoway County,2045,14
Orange County,2024,57
Orange County,2045,14
Page County,2024,57
Page County,2045,14
Patrick County,2024,57
Patrick County,2045,14
Petersburg City,2024,57
Petersburg City,2045,14
Pittsylvania County,2024,57
Pittsylvania County,2045,14
Poquoson City,2024,57
Poquoson City,2045,14
Portsmouth City,2024,57
Portsmouth City,2045,14
Powhatan County,2024,57
Powhatan County,2045,14
Prince Edward County,2024,57
Prince Edward County,2045,14
Prince George County,2024,57
Prince George County,2045,14
Prince William County,2024,57
Prince William County,2045,14
Pulaski County,2024,57
Pulaski County,2045,14
Radford City,2024,57
Radford City,2045,14
Rappahannock County,2024,57
Rappahannock County,2045,14
Richmond City,2024,57
Richmond City,2045,14
Richmond County,2024,57
Richmond County,2045,14
Roanoke City,2024,57
Roanoke City,2045,14
Roanoke County,2024,57
Roanoke County,2045,14
Rockbridge County,2024,57
Rockbridge County,2045,14
Rockingham County,2024,57
Rockingham County,2045,14
Russell County,2024,57
Russell County,2045,14
Salem City,2024,57
Salem City,2045,14
Scott County,2024,57
Scott County,2045,14
Shenandoah County,2024,57
Shenandoah County,2045,14
Smyth County,2024,57
Smyth County,2045,14
Southampton County,2024,57
Southampton County,2045,14
Spotsylvania County,2024,57
Spotsylvania County,2045,14
Stafford County,2024,57
Stafford County,2045,14
Staunton City,2024,57
Staunton City,2045,14
Suffolk City,2024,57
Suffolk City,2045,14
Surry County,2024,57
Surry County,2045,14
Sussex County,2024,57
Sussex County,2045,14
Tazewell County,2024,57
Tazewell County,2045,14
Virginia Beach City,2024,57
Virginia Beach City,2045,14
Warren County,2024,57
Warren County,2045,14
Washington County,2024,57
Washington County,2045,14
Waynesboro City,2024,57
Waynesboro City,2045,14
Westmoreland County,2024,57
Westmoreland County,2045,14
Williamsburg City,2024,57
Williamsburg City,2045,14
Winchester City,2024,57
Winchester City,2045,14
Wise County,2024,57
Wise County,2045,14
Wythe County,2024,57
Wythe County,2045,14
York County,2024,57
York County,2045,14
